DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W01,76,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W02,76,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W03,62,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W04,58,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W05,55,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W06,63,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W07,64,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W08,56,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W09,63,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W10,60,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W11,63,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W12,70,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W13,87,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W14,56,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W15,50,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W16,66,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W17,52,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W18,52,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W19,49,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W20,56,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W21,59,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W22,64,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W23,54,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W24,60,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W25,53,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W26,51,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W27,59,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W28,54,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W29,48,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W30,63,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W31,73,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W32,48,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W33,45,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W34,45,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W35,56,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W36,50,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W37,59,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W38,63,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W39,59,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W40,57,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W41,72,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W42,58,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W43,43,,
ESTAT:DEMO_R_MWK3_TS(1.0),04/09/25 23:00:00,Weekly,Total,Number,Prov. Brabant wallon,2001-W44,51,,
